Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
5983 Kensington,21072940.,6200.00,09/18/2015,Closed,Selected,Homebuyer,Auction,4,East English Village,42.41162,-82.940661,"location
(42.41162, -82.940661)"
5933 Kensington,21072945.,2100.00,07/02/2015,Closed,Selected,Investor,Auction,4,East English Village,42.411027,-82.940275,"location
(42.411027, -82.940275)"
5501 Kensington,21072971.,16100.00,10/15/2015,Closed,Selected,Homebuyer,Auction,4,East English Village,42.407377,-82.937851,"location
(42.407377, -82.937851)"
5109 Kensington,21072988.,12100.00,02/11/2015,Closed,Selected,Homebuyer,Auction,4,East English Village,42.405405,-82.936561,"location
(42.405405, -82.936561)"
4425 Kensington,21073025.,20100.00,10/21/2015,Closed,Selected,Homebuyer,Auction,4,East English Village,42.400758,-82.933506,"location
(42.400758, -82.933506)"
3964 Yorkshire,21073118.,18800.00,08/19/2015,Closed,Selected,Investor,Auction,4,East English Village,42.397513,-82.929109,"location
(42.397513, -82.929109)"
4884 Yorkshire,21073180.,1400.00,01/22/2015,Closed,Selected,Homebuyer,Auction,4,East English Village,42.404036,-82.933418,"location
(42.404036, -82.933418)"
18255 Gilchrist,22065761.,1000.00,05/25/2016,Closed,Selected,Homebuyer,Auction,2,College Park,42.423783,-83.212713,"location
(42.423783, -83.212713)"
16103 Gilchrist,22065870.,1800.00,12/09/2016,Closed,Selected,Homebuyer,Auction,1,Crary/St Marys,42.408612,-83.212136,"location
(42.408612, -83.212136)"
16603 Blackstone,22109301.,5800.00,02/27/2015,Closed,Selected,Homebuyer,Auction,1,Miller Grove,42.411017,-83.250065,"location
(42.411017, -83.250065)"
16535 Blackstone,22109308.,5000.00,10/02/2014,Closed,Selected,Homebuyer,Auction,1,Miller Grove,42.410057,-83.250029,"location
(42.410057, -83.250029)"
16124 Westbrook,22109797.,5100.00,09/11/2014,Closed,Selected,Homebuyer,Auction,1,Miller Grove,42.408082,-83.250396,"location
(42.408082, -83.250396)"
16166 Westbrook,22109801.,3550.00,03/23/2016,Closed,Selected,Homebuyer,Auction,1,Miller Grove,42.408631,-83.250418,"location
(42.408631, -83.250418)"
9616 Braile,22105037.,2600.00,05/11/2015,Closed,Selected,Homebuyer,Auction,7,Franklin Park,42.366322,-83.243158,"location
(42.366322, -83.243158)"
19186 Braile,22105421.,8800.00,04/14/2017,Closed,Selected,Investor,Auction,1,Evergreen Lahser 7/8,42.430804,-83.245896,"location
(42.430804, -83.245896)"
20120 Braile,22105488.003,6850.00,07/22/2016,Closed,Selected,,Auction,1,Evergreen Lahser 7/8,42.440049,-83.246159,"location
(42.440049, -83.246159)"
7711 Braile,22106062.,6100.00,07/31/2017,Closed,Selected,Homebuyer,Auction,7,Warrendale,42.348273,-83.243111,"location
(42.348273, -83.243111)"
